AccountNo      OpeningBal     ClosingBal     
11012342        7815.16        7815.16
12013464        -256.78        -256.78
13014586        -165.22        -165.22
11012375        9825.23        9825.23
12013500      -10022.15      -10022.15
13014625       -3598.25       -3598.25
11145442         982.05         982.05
12158664        -988.21        -988.21
11174581          12.20          12.20
12190452        -100.25        -100.25
13206323       -4825.26       -4825.26
13446565        1995.26        1995.26
14668980         -65.21         -65.21
15891395       -1987.25       -1987.25
14532364       22350.15       22350.15
15853488       -2654.25       -2654.25
17174612           0.00           0.00
14532419        1987.12        1987.12
14544365          84.23          84.23
17188795           0.00           0.00
17053500       -4554.12       -4554.12
18474625        -365.24        -365.24
15754794        9254.22        9254.22
18619302        -987.25        -987.25
